Kode Customer, Nama Customer, Kode Ship From, Ship From Deskripsi, Ship To Kode, Harga Invoice, Tipe Truck (20"/40")
C-012,DEPO,SBY-69,ABBA SEPANJANG,012ABS,1495000,40"
C-012,TPS,SBY-66,CPP DUPAK,012CPD,1058000,40"
C-012,TPS,SBY-66,CPP MARGOMULYO CITRA,012CMC,1225000,40"
C-012,TPS,SBY-66,CPP MARGOMULYO B10,012CMB,1225000,40"
C-012,TPS,SBY-66,CPP SEPANJANG,012CPS,1495000,40"
C-012,TPS,SBY-66,ROMOKALISARI,012RMK,1403000,40"
C-012,TPS,SBY-66,ABBA SEPANJANG,012ABS,1495000,40"
C-012,TELUK LAMONG,SBY-07,CPP DUPAK,012CPD,1173000,40"
C-012,TELUK LAMONG,SBY-07,CPP MARGOMULYO CITRA,012CMC,1340000,40"
C-012,TELUK LAMONG,SBY-07,CPP MARGOMULYO B10,012CMB,1340000,40"
C-012,TELUK LAMONG,SBY-07,CPP SEPANJANG,012CPS,1610000,40"
C-012,TELUK LAMONG,SBY-07,ROMOKALISARI,012RMK,1518000,40"
C-012,TELUK LAMONG,SBY-07,ABBA SEPANJANG,012ABS,1610000,40"
C-012,TPS,SBY-66,LAMHONG MARGOMULYO,012TLM,1157000,40"
C-012,TPS,SBY-66,LAMHONG PUNGGING,012TLP,1582000,40"
C-012,TELUK LAMONG,SBY-07,LAMHONG MARGOMULYO,012TLM,1260000,40"
C-012,TELUK LAMONG,SBY-07,LAMHONG PUNGGING,012TLP,1691000,40"
C-012,DEPO,SBY-69,LMA CARGILL KRATON,012LAK,2600000,40"
C-012,DEPO,SBY-69,LMA HAIDA,012LMH,2600000,40"
C-031,TPS,SBY-66,ROMOKALISARI,031RMK,2600000,40"
C-031,ICT,,ROMOKALISARI,031RMK,2600000,40"
C-031,TELUK LAMONG,SBY-07,ROMOKALISARI,031RMK,2600000,40"
C-004,TPS,SBY-66,ENVIRA BETRO GEDANGAN,004EBG,1495000,40"
C-004,TELUK LAMONG,SBY-07,ENVIRA BETRO GEDANGAN,004EBG,1610000,40"
C-004,TPS,SBY-66,UJT MARGOMULYO,004UJM,1288000,40"
C-004,TELUK LAMONG,SBY-07,UJT MARGOMULYO,004UJM,1400000,40"
C-004,TPS,SBY-66,UJT ROMOKALISARI,004UJR,1495000,40"
C-004,TELUK LAMONG,SBY-07,UJT ROMOKALISARI,004UJR,1610000,40"
C-050,TPS,SBY-66,FUGUI FLOUR,050FUG,2150000,40"
C-082,TAMBAK LANGON,SBY-04,ROMOKALISARI,082RMK,1540000,40"
C-026,TELUK LAMONG,SBY-07,MANUKAN,124MNK,1450000,40"
C-026,TELUK LAMONG,SBY-07,GUDANG DOMAS GRESIK,124GDG,1700000,40"
C-026,TELUK LAMONG,SBY-07,MARGOMULYO,124MML,1400000,40"
C-026,TELUK LAMONG,SBY-07,DRIYOREJO,124DRY,1600000,40"
C-026,TELUK LAMONG,SBY-07,CANGKIR,124CGR,1600000,40"
C-026,TELUK LAMONG,SBY-07,RUNGKUT,124RGT,1600000,40"
C-026,TELUK LAMONG,SBY-07,SIDOARJO LINGKUR TIMUR,124SLT,1600000,40"
C-026,TELUK LAMONG,SBY-07,BUDURAN,124BDR,1600000,40"
C-026,TELUK LAMONG,SBY-07,MOJOSARI JLN.DIPONEGORO,124MJD,1900000,40"
C-026,TELUK LAMONG,SBY-07,MOJOSARI KEC.PUNGGING,124MKP,1850000,40"
C-026,TELUK LAMONG,SBY-07,PURWOSARI,124PWS,2150000,40"
