REPO2 DSS TB 40*,Container,," 150000 ", - 
REPO2 K.ANAK-ROMO 40*,Container,," 285000 ", - 
ROMO K 20*,Container,RMK," 302000 "," 40000 "
ROMO K 40*,Container,RMK," 392000 "," 50000 "
RUNGKUT 20*,Container,WFR," 270000 "," 37000 "
S.KERTO 20*,Container,," 265000 "," 37000 "
SEGER 20*,Container,SGR," 365000 "," 53000 "
SEGER 40*,Container,SGR," 465000 "," 75000 "
SEGER+CPIK 20*,Container,CIK," 375000 "," 53000 "
SEGER+CPIS 20*,Container,CIS," 350000 "," 53000 "
SEGORO MADU 20*,Container,," 295000 "," 40000 "
SEMARANG 20*,Container,," 2000000 ", - 
SEMARANG 40*,Container,," 2,700000 ", - 
SEPANJANG 20*,Container,CIS," 295000 "," 40000 "
SIDODADI 20*,Container,," 225000 "," 50000 "
SIDODADI 40*,Container,," 285000 "," 69000 "
SIERAD 20*,Container,SRW," 365000 "," 53000 "
SIERAD 40*,Container,SRW," 465000 "," 75000 "
SIMO 20*,Container,," 225000 "," 50000 "
SINGOSARI 40*,Container,," 1,150000 ", - 
SPJ-GEMPOL 20*,Container,MSG," 332000 ", - 
SPJ-KRIAN 20*,Container,CIK," 100000 ", - 
SPJ-PURWOSARI 20*,Container,," 432000 ", - 
SPJ-ROMO 20*,Container,RMK," 147000 ", - 
SPJ-SUMENGKO 20*,Container,SGR," 200000 ", - 
SUKOREJO 20*,Container,," 620000 "," 60000 "
SUPRANUSA 20*,Container,," 345000 "," 46000 "
T.LAMONG-CPIS 20*,Container,CIS," 345000 "," 40000 "
T.LAMONG-KRIAN 20*,Container,CIK," 390000 "," 46000 "
T.LAMONG-TB 20*,Container,TGB," 295000 "," 40000 "
T.LAMONG-TB 40*,Container,TGB," 392000 "," 50000 "
T.LAMONG-TB 40*,Container,TGB," 385000 "," 50000 "
T.LAMONG-TB LANGON 20*,Container,," 200000 "," 40000 "
TANDES 20*,Container,," 228000 "," 50000 "
TB MT ROMO 40*,Container,TGB," 385000 "," 50000 "
TB SAWAH 20*,Container,TSW," 300000 "," 40000 "
TB SAWAH 40*,Container,TSW," 390000 "," 50000 "
TB TRN 20*,Container,," 90000 ", - 
TB.LANGON 20*,Container,TBL," 228000 "," 50000 "
TB.LANGON 40*,Container,TBL," 288000 "," 69000 "
TB.LANGON-ROMO 40*,Container,," 225000 ", - 
TB.SAWAH 20* BAGS,Container,TSW," 340000 "," 46000 "
TJ.BATU 20*,Container,TGB," 203000 "," 40000 "
TJ.BATU 20* (MMULYO),Container,," 228000 "," 50000 "
TJ.BATU 40*,Container,TGB," 253000 "," 43000 "
TJ.BATU 40* (MMULYO),Container,," 288000 "," 69000 "
TJ.BATU20* (KALIANAK),Container,," 188000 "," 40000 "
TJIWI-MARGO 40*,Container,," 750000 ", - 
TLK ROMO,Container,," 150000 ", - 
TONGAS 20*,Container,SAN," 957000 ", - 
TROSOBO 20*,Container,SPT," 345000 "," 46000 "
TROSOBO 40*,Container,SPT," 440000 "," 72000 "
TTL-KARANA 40*,Container,," 225000 ", - 
TUBAN 20*,Container,," 900000 ", - 
TUBAN 20*,Container,," 800000 ", - 
VETERAN 20*,Container,," 295000 "," 40000 "
W. ANOM 40*,Container,MAL," 490000 "," 75000 "
W.ANOM 20*,Container,MAL," 385000 "," 53000 "
W.GUNUNG 20*,Container,SWG," 270000 "," 37000 "
WARU 20*,Container,," 265000 "," 32000 "
WONOAYU 20*,Container,SRW," 365000 "," 53000 "
WONOCOLO 20*,Container,," 260000 "," 32000 "
WONOKOYO 20*,Container,WKY," 485000 "," 43000 "
WONOKOYO 40*,Container,WKY," 575000 "," 65000 "
YELLOW KJAYAN 20*,Container,," 520000 "," 52000 "
